food_name,energy_kcal,carb_g,protein_g,fat_g,servings_unit,unit_serving_energy_kcal,unit_serving_carb_g,unit_serving_protein_g,unit_serving_fat_g
  Fish Tikka,250.00,15.00,20.00,15.00,,,,,
  Dal Makhani,350.00,45.00,15.00,15.00,,,,,
  Chicken Korma,400.00,10.00,28.00,26.00,,,,,
  Prawn Biryani,400.00,60.00,20.00,15.00,,,,,
  Vegetable Sambar,100.00,15.00,4.00,3.00,,,,,
  Chole (Chickpea Curry),300.00,45.00,15.00,8.00,,,,,
  Kadai Fish,350.00,15.00,25.00,20.00,,,,,
  Chana Dal,180.00,30.00,10.00,5.00,,,,,
  Vegetable Fried Rice,350.00,50.00,8.00,10.00,,,,,
  Prawn Masala,300.00,15.00,20.00,18.00,,,,,
  Pesarattu (Green Gram Dosa),250.00,35.00,15.00,6.00,,,,,
  Murukku,500.00,70.00,6.00,25.00,,,,,
  Paniyaram,220.00,34.00,6.00,8.00,,,,,
  Bonda,270.00,35.00,5.00,12.00,,,,,
  Pakora,300.00,35.00,5.00,15.00,,,,,
  Uzhunnu Vada,250.00,30.00,8.00,12.00,,,,,
  Banana Chips,500.00,60.00,2.00,30.00,,,,,
  Vegetable Cutlet,150.00,20.00,5.00,7.00,,,,,
  Chikki (Peanut Brittle),450.00,60.00,10.00,20.00,,,,,
  Karam Dosa,250.00,40.00,8.00,8.00,,,,,
  Rawa Upma,200.00,35.00,6.00,6.00,,,,,
  Mysore Pak,450.00,50.00,7.00,25.00,,,,,
  Appam,220.00,36.00,4.00,8.00,,,,,
  Fritters (Vegetable),300.00,35.00,5.00,15.00,,,,,
  Pesarattu Dosa,250.00,35.00,15.00,6.00,,,,,
  Potato Wedges,300.00,40.00,4.00,15.00,,,,,
  Coconut Ladoo,350.00,50.00,5.00,15.00,,,,,
  Rawa Ladoo,400.00,60.00,8.00,15.00,,,,,
  Corn Fritters,250.00,30.00,5.00,12.00,,,,,
  Khakra,400.00,60.00,10.00,15.00,,,,,
  Thattai,450.00,60.00,6.00,20.00,,,,,
  Onion Uthappam,250.00,40.00,6.00,8.00,,,,,
  Cabbage Vada,250.00,30.00,7.00,12.00,,,,,
  Thukpa,200.00,30.00,6.00,5.00,,,,,
  Mysore Bonda,300.00,35.00,8.00,15.00,,,,,
  Khichdi,220.00,35.00,8.00,5.00,,,,,
  Kothimbir Vadi,250.00,30.00,8.00,12.00,,,,,
  Kachori,350.00,45.00,8.00,15.00,,,,,
  Khichu,220.00,30.00,5.00,8.00,,,,,
  Bombay Sandwich,300.00,50.00,10.00,8.00,,,,,
  Puffed Rice,350.00,75.00,7.00,5.00,,,,,
  Falafel,330.00,45.00,12.00,15.00,,,,,
  Spring Roll,250.00,35.00,5.00,10.00,,,,,
  Vegetable Spring Roll,250.00,35.00,4.00,10.00,,,,,
  Kathi Roll,300.00,45.00,10.00,10.00,,,,,
  Tomato Chutney Sandwich,220.00,32.00,8.00,6.00,,,,,
  Palak Chaat,200.00,30.00,5.00,8.00,,,,,
  Bhaji (Potato),270.00,35.00,3.00,12.00,,,,,
  Paneer Pakora,350.00,30.00,10.00,20.00,,,,,
  Spicy Peanuts,600.00,20.00,25.00,50.00,,,,,
  Aloo Tikki,250.00,35.00,5.00,12.00,,,,,
  Bread Upma,250.00,40.00,6.00,8.00,,,,,
  Ragi Chips,450.00,65.00,10.00,20.00,,,,,
  Kothimbir Wadi,250.00,30.00,8.00,12.00,,,,,
  Corn Chaat,220.00,30.00,5.00,10.00,,,,,
  Pesarattu Chaat,250.00,35.00,10.00,8.00,,,,,
  Aloo Chaat,300.00,40.00,6.00,12.00,,,,,
  Methi Murg,300.00,10.00,20.00,15.00,,,,,
  Veg Roll,250.00,40.00,8.00,8.00,,,,,
  Chettinad Masala,400.00,20.00,15.00,25.00,,,,,
  Cheese Burst Dosa,350.00,50.00,12.00,12.00,,,,,
  Stuffed Peppers,180.00,25.00,5.00,7.00,,,,,
  Spinach Pakora,300.00,35.00,6.00,15.00,,,,,
  Chaat (Mixed),200.00,30.00,5.00,8.00,,,,,
  Chur Chur Naan,320.00,50.00,10.00,12.00,,,,,
  Onion Rings,350.00,60.00,4.00,15.00,,,,,
  Kachumber Salad,100.00,20.00,2.00,2.00,,,,,
  Falafel Wrap,400.00,55.00,12.00,18.00,,,,,
  Idli Manchurian,250.00,35.00,8.00,10.00,,,,,
  Cheesy Dosa,400.00,50.00,14.00,20.00,,,,,
  Prawn Koliwada,300.00,15.00,25.00,15.00,,,,,
  Bread Pakora,300.00,40.00,6.00,15.00,,,,,
  Corn Pattice,250.00,40.00,6.00,8.00,,,,,
  Methi Pakora,300.00,35.00,6.00,15.00,,,,,
  Poha Chaat,200.00,30.00,5.00,6.00,,,,,
  Stuffed Dosa,350.00,50.00,12.00,12.00,,,,,
  Dahi Puri,250.00,40.00,6.00,10.00,,,,,
  Tandoori Broccoli,150.00,15.00,6.00,8.00,,,,,
  Paneer Chaat,300.00,30.00,12.00,15.00,,,,,
  Masala Peanuts,600.00,20.00,25.00,50.00,,,,,
  Idli,150.00,30.00,6.00,2.00,,,,,
  Dosa,200.00,30.00,6.00,5.00,,,,,
  Uttapam,220.00,35.00,6.00,8.00,,,,,
  Pesarattu,250.00,35.00,15.00,6.00,,,,,
  Upma,200.00,35.00,6.00,6.00,,,,,
  Pongal,250.00,45.00,6.00,7.00,,,,,
  Rawa Dosa,210.00,35.00,6.00,8.00,,,,,
  Vada,250.00,30.00,8.00,12.00,,,,,
  Medu Vada,250.00,30.00,8.00,12.00,,,,,
  Akki Roti,220.00,40.00,5.00,5.00,,,,,
  Adai,200.00,30.00,10.00,6.00,,,,,
  Dhokla,120.00,20.00,6.00,2.00,,,,,
  Ragi Mudde,130.00,30.00,4.00,1.00,,,,,
  Kuthiraivali Idli,150.00,25.00,6.00,2.00,,,,,
  Kootu,90.00,15.00,4.00,2.00,,,,,
  Chutney Sandwich,250.00,40.00,8.00,10.00,,,,,
  Chettinad Idli,160.00,30.00,5.00,3.00,,,,,
  Vegetable Upma,220.00,36.00,6.00,8.00,,,,,
  Dahi Vada,300.00,40.00,10.00,12.00,,,,,
  Coconut Chutney,200.00,10.00,2.00,18.00,,,,,
  Methi Thepla,250.00,40.00,8.00,8.00,,,,,
  Rawa Kesari,300.00,60.00,4.00,8.00,,,,,
  Bisi Bele Bath,230.00,40.00,8.00,5.00,,,,,
  Corn Roti,200.00,35.00,5.00,5.00,,,,,
  Puttu,200.00,30.00,4.00,5.00,,,,,
  Chitranna (Lemon Rice),250.00,40.00,6.00,8.00,,,,,
  Tomato Rice,250.00,45.00,5.00,7.00,,,,,
  Vegetable Biryani,300.00,55.00,8.00,10.00,,,,,
  Sambar Rice,280.00,50.00,8.00,5.00,,,,,
  Coconut Rice,250.00,40.00,6.00,10.00,,,,,
  Aloo Bonda,270.00,35.00,5.00,12.00,,,,,
  Vegetable Pulao,290.00,50.00,8.00,7.00,,,,,
  Kalya,250.00,35.00,8.00,10.00,,,,,
  Cabbage Upma,200.00,30.00,5.00,7.00,,,,,
  Oats Idli,160.00,25.00,6.00,3.00,,,,,
  Vegetable Dhokla,120.00,20.00,5.00,2.00,,,,,
  Sprouted Moong Salad,120.00,20.00,8.00,2.00,,,,,
  Poha,200.00,35.00,4.00,6.00,,,,,
  Bhel Puri,220.00,36.00,6.00,6.00,,,,,
  Masala Dosa,250.00,40.00,7.00,10.00,,,,,
  Onion Dosa,240.00,38.00,6.00,9.00,,,,,
  Kharabath,210.00,35.00,5.00,8.00,,,,,
  Kootu Curry,90.00,15.00,4.00,2.00,,,,,
  Soya Chunks Upma,250.00,35.00,10.00,8.00,,,,,
  Kova Puttu,200.00,30.00,5.00,6.00,,,,,
  Veggie Wrap,230.00,35.00,8.00,7.00,,,,,
  Masala Khichdi,270.00,45.00,9.00,7.00,,,,,
  Tawa Pulao,290.00,50.00,8.00,9.00,,,,,
  Vegetable Khichdi,220.00,35.00,8.00,5.00,,,,,
  Rawa Idli,150.00,30.00,5.00,2.00,,,,,
  Methi Dosa,210.00,35.00,7.00,8.00,,,,,
  Sabudana Khichdi,250.00,50.00,4.00,6.00,,,,,
  Khandvi,200.00,30.00,8.00,7.00,,,,,
  Oats Upma,180.00,30.00,6.00,5.00,,,,,
  Prawn Masala Dosa,300.00,40.00,15.00,12.00,,,,,
  Fish Curry Rice,350.00,50.00,20.00,10.00,,,,,
  Daal Dhokli,250.00,40.00,8.00,8.00,,,,,
  Mixed Vegetable Roti,220.00,35.00,6.00,7.00,,,,,
  Baida Roti,300.00,35.00,12.00,15.00,,,,,
  Kheer,150.00,30.00,4.00,3.00,,,,,
  Vegetable Kathi Roll,250.00,40.00,8.00,8.00,,,,,
  Jowar Roti,140.00,30.00,4.00,1.00,,,,,
  Vada Pav,320.00,45.00,8.00,15.00,,,,,
  Sev Puri,250.00,40.00,5.00,10.00,,,,,
  Pav Bhaji,300.00,50.00,10.00,10.00,,,,,
  Pani Puri,200.00,35.00,3.00,8.00,,,,,
  Chaat,220.00,36.00,6.00,7.00,,,,,
  Chole Bhature,400.00,60.00,12.00,15.00,,,,,
  Litti Chokha,350.00,55.00,10.00,12.00,,,,,
  Chura (Flattened Rice),200.00,40.00,4.00,5.00,,,,,
  Vegetable Pakora,300.00,35.00,5.00,15.00,,,,,
  Samosa,250.00,35.00,6.00,12.00,,,,,
  Chutney,100.00,10.00,2.00,5.00,,,,,
  Spinach Dosa,200.00,30.00,7.00,8.00,,,,,
  Butter Dosa,300.00,45.00,6.00,12.00,,,,,
  Egg Dosa,300.00,40.00,12.00,15.00,,,,,
  Bhel,220.00,36.00,6.00,7.00,,,,,
  Bhaji,270.00,35.00,3.00,12.00,,,,,
  Masala Papad,200.00,30.00,6.00,8.00,,,,,
  Egg Curry,300.00,10.00,15.00,20.00,,,,,
  Aloo Gobi,200.00,30.00,5.00,8.00,,,,,
  Vegetable Stew,180.00,25.00,4.00,8.00,,,,,
  Palak Paneer,300.00,10.00,15.00,22.00,,,,,
  Butter Chicken,350.00,10.00,20.00,25.00,,,,,
  Gobi Manchurian,250.00,35.00,7.00,10.00,,,,,
  Vegetable Manchurian,250.00,35.00,7.00,10.00,,,,,
  Vegetable Samosa,300.00,40.00,6.00,15.00,,,,,
  Chole Rice,350.00,50.00,12.00,10.00,,,,,
  Ghee Rice,350.00,55.00,6.00,12.00,,,,,
  Kothu Parotta,400.00,50.00,12.00,20.00,,,,,
  Biryani,400.00,60.00,14.00,10.00,,,,,
  Vegetable Stir Fry,100.00,15.00,3.00,5.00,,,,,
  Daal Fry,200.00,30.00,10.00,8.00,,,,,
  Thalipeeth,250.00,35.00,8.00,10.00,,,,,
  Paneer Tikka,250.00,10.00,15.00,18.00,,,,,
  Masala Rice,300.00,50.00,10.00,10.00,,,,,
  Bhindi Masala,200.00,30.00,5.00,8.00,,,,,
  Pumpkin Curry,150.00,30.00,4.00,2.00,,,,,
  Bhaji (Vegetable Fritters),250.00,30.00,5.00,12.00,,,,,
